dosage,stage,rising,peaking,withdrawal,diminishing,bottoming out,restoration
Medicine,Beige,Commitment,Diligence,Steadiness,Security,Planning,Next Habit
Medicine,Purple,Inspiration,Joy,Introspectivity,Tranquility,Convalescence ,Recuperation
Medicine,Red,Leading,Power-With,Stepping Back,Self-Acceptance,Following,Assembling
Medicine,Blue,Ambition,Attunement,Discernment,Conviction,Surrender,Catharsis
Medicine,Orange,Hypothesize,Experiment ,Collect Data,Analyze,Synthesize,Question
Medicine,Green,Connection,Belonging,Retirement ,Unwinding,Repose,Vulnerability
Medicine,Yellow,Rebellion,Anarchy,Organize,Establish,Order,Disintegrate
Medicine,Teal,Epiphany,Gnosis,Receptivity,Absorption,Metabolism,Pattern-Seeking
Toxic,Beige,Overcommitment,Thriving,Burnout,Grasping,Overwhelm ,New Plan
Toxic,Purple,Grandiosity ,Ecstasy,Anxiety,Self-Doubt,Self-Loathing,Selfishness
Toxic,Red,Dominating,Power-Over,Crumbling,Shame,Subjugation,Revenge
Toxic,Blue,Voraciousness,Leprosy,Self-Medication,Rage,Misery,Self-Repression
Toxic,Orange,Assert,Crusade,Overlook Details,Force it,Fail,Presume
Toxic,Green,Oversharing,Megalomania,Social Anxiety,Alienation,Isolation,Bitterness
Toxic,Yellow,Mischief,Chaos,Discord,Confusion,Bureaucracy ,The Aftermath
Toxic,Teal,Delusion,Psychosis,Paranoia,Horror,Despair,Belief Salience
Toxic,Ultraviolet,Worldly Desire,Bliss Addiction,Agitation Due to Worry or Remorse ,Doubt,Aversion,Laziness or Lethargy
Medicine,Ultraviolet,Unification of Mind,Jhana,Metta and Meditative Joy,Sustained Attention,Pleasure,Directed Attention
